sector1,sector2,sector3,sector4,sector5,sector6,sector7,sector8,sector9,sector10,sector11
2.43,2.02,1.68,63.33,0.37156626506024104,56.66,21.0,4.33,62.84,66.33,66.67
1.6,1.9,1.37,66.67,0.36542168674698794,56.66,19.0,3.0,63.0,70.5,66.67
1.2,1.47,1.01,46.67,0.3292771084337349,43.34,14.5,2.5,57.17,49.33,46.67
1.05,1.08,0.85,40.0,0.3091566265060241,36.66,22.0,2.0,53.33,38.33,31.67
0.42,0.9,0.45,23.33,0.16265060240963858,26.66,13.17,2.0,50.84,28.0,36.67
0.33,0.78,0.35,11.66,0.1104819277108434,26.67,12.17,1.0,35.83,21.17,26.67
0.32,0.72,2.24,16.67,0.15265060240963857,30.0,11.83,0.83,54.33,24.5,33.33
0.15,0.69,2.26,11.66,0.1325301204819277,33.33,9.17,2.5,51.17,17.17,23.33
0.15,0.74,2.31,20.0,0.1606024096385542,30.0,10.0,5.5,43.34,29.17,21.67
0.42,0.81,2.64,25.0,0.1404819277108434,36.67,9.67,4.33,64.0,26.5,23.33
0.42,1.09,1.37,58.34,0.3734939759036145,60.0,20.83,7.33,80.17,56.5,43.33
0.68,1.27,2.59,78.33,0.7108433734939759,100.0,29.5,7.5,96.34,78.67,66.67
1.33,1.36,2.06,71.66,0.7771084337349398,95.0,29.33,5.0,91.83,71.0,71.67
0.01,1.44,1.62,68.34,0.6706024096385541,81.67,26.17,8.5,66.66,66.67,53.33
0.0,1.51,1.82,60.0,0.6325301204819277,75.0,20.33,6.67,56.5,60.17,51.67
0.0,1.56,1.0,70.0,0.5542168674698795,65.0,22.17,8.17,68.17,61.83,50.0
0.26,1.58,1.85,51.66,0.44373493975903616,60.0,19.83,9.0,64.17,59.17,56.67
0.4,1.65,1.14,50.0,0.3493975903614458,55.0,18.0,7.5,60.17,53.0,51.67
0.57,1.6,1.54,53.33,0.43180722891566276,60.0,18.33,5.5,49.66,57.67,51.67
0.39,1.54,2.1,50.0,0.4296385542168674,60.0,17.17,4.5,47.67,54.67,61.67
0.83,1.48,0.85,48.34,0.3533734939759036,50.0,16.83,3.33,48.67,49.17,48.33
1.52,1.55,1.78,48.34,0.36939759036144576,51.67,21.17,2.5,51.84,50.67,46.67
1.2,1.61,0.8,51.66,0.39759036144578314,58.33,20.0,4.0,50.33,54.67,45.0
0.93,1.7,1.97,56.67,0.45180722891566266,58.33,16.5,4.17,64.33,57.17,48.33
1.47,1.75,2.84,61.66,0.38349397590361445,55.0,20.33,3.5,60.34,66.5,58.33
1.5,1.64,1.09,60.0,0.40759036144578314,56.66,17.5,3.33,58.5,65.0,61.67
0.47,1.27,0.57,40.0,0.3172289156626506,46.66,13.0,3.0,51.17,45.67,40.0
0.82,1.12,1.28,36.67,0.2510843373493976,40.0,16.67,1.83,40.16,33.67,36.67
0.4,0.93,0.97,20.0,0.15457831325301202,31.67,9.5,1.33,44.5,35.67,40.0
0.37,0.81,1.28,13.33,0.0983132530120482,30.0,8.0,1.17,34.0,21.0,26.67
0.18,0.75,1.34,16.67,0.06024096385542167,25.0,8.83,1.5,33.67,20.0,16.67
0.12,0.71,2.65,15.0,0.0683132530120482,26.67,10.0,3.83,39.67,14.83,16.67
0.15,0.76,1.75,15.0,0.0983132530120482,23.33,10.5,3.5,42.84,17.5,16.67
0.62,0.84,2.57,21.67,0.1425301204819277,35.0,9.5,1.83,51.5,20.33,25.0
0.55,1.13,1.72,56.67,0.38951807228915664,61.66,17.67,6.5,76.17,47.33,45.0
0.67,1.31,1.65,75.0,0.664578313253012,88.33,27.0,7.0,98.16,72.17,65.0
0.97,1.41,2.39,71.66,0.6466265060240964,88.34,30.0,8.67,73.0,69.17,61.67
0.0,1.49,1.38,60.0,0.7189156626506025,83.33,27.83,6.17,73.17,66.5,71.67
0.0,1.56,2.62,58.33,0.6506024096385542,78.34,20.0,7.67,65.5,59.5,55.0
1.2,1.61,3.47,61.66,0.5321686746987951,66.67,18.5,10.0,61.0,56.0,55.0
